RXN0-6981	EC-3.4.13.18	peptidase D	pepD
4.2.2.13-RXN	EC-4.2.2.13	&alpha;-1,4-glucan lyase 1	Ag111
RXN-10450	|EC-1.14.13.dl|	jasmomic acid 12-hydroxylase	ABM
RXN-10451	EC-2.8.2	hydroxyjasmonate sulfotransferase	AT5G07010
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	pgm
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphomannomutase	algC
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	pgmA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-1	PGM1
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-2	PGM2
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	unknown
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase	AT5G51820
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-2	PGM2
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	phosphoglucomutase-1	PGM1
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgcA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgmA
PHOSPHOGLUCMUT-RXN	EC-5.4.2.2	&alpha;-phosphoglucomutase	pgm II
RXN-9024	EC-3.2.1.3	glucan 1,4-&alpha;-glucosidase	SGA1
RXN-9025	EC-2.4.1.1	maltodextrin phosphorylase||maltodextrin phosphorylase||maltodextrin phosphorylase||maltodextrin phosphorylase||maltodextrin phosphorylase	malP
RXN-9025	EC-2.4.1.1	glycogen phosphorylase, muscle isoform	PYGM
RXN-9025	EC-2.4.1.1	glycogen phosphorylase, liver isoform	PYGL
RXN-9025	EC-2.4.1.1	glycogen phosphorylase, brain isoform	PYGB
RXN-9025	EC-2.4.1.1	glycogen phosphorylase	GPH1
RXN-9023	EC-2.4.1.25	glycogen debranching enzyme	AGL
RXN-9023	EC-2.4.1.25	glycogen debranching enzyme	GDB1
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase	glgP
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase, muscle isoform	PYGM
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase, liver isoform	PYGL
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase, brain isoform	PYGB
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase <i>b</i>	GlyP
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase <I>b</i>	unknown
GLYCOPHOSPHORYL-RXN	EC-2.4.1.1	glycogen phosphorylase	GPH1
3.2.1.33-RXN	EC-3.2.1.33	glycogen debranching enzyme	AGL
3.2.1.33-RXN	EC-3.2.1.33	glycogen debranching enzyme	GDB1
RXN-10690	EC-2.4.1	tuberonic acid glucosyltransferase	TAG
RXN-10690	EC-2.4.1	salicylic acid glucosyltransferase	SGT
RXN-10450	|EC-1.14.13.dl|	jasmomic acid 12-hydroxylase	ABM
RXN-7633	EC-2.3.1.140	rosmarinic acid synthase	RAS
RXN-7633	EC-2.3.1.140	rosmarinic acid synthase	unknown
RXN-7632	EC-1.1.1.237	hydroxyphenylpyruvate reductase	HPPR
2.6.1.49-RXN	EC-2.6.1.49	3,4-dihydroxyphenylalanine transaminase	unknown
TYROSINE-3-MONOOXYGENASE-RXN	EC-1.14.16.2	tyrosine 3-monooxygenase	unknown
TYROSINE-3-MONOOXYGENASE-RXN	EC-1.14.16.2	tyrosine 3-monooxygenase	TH
RXN-14898	RXN-14898	unknown	unknown
RXN-14897	EC-4.2.2.10	unknown	unknown
RXN-10456	EC-6.3	unknown	unknown
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	AT2G46370
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-10457	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10457	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-10459	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10459	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-10439	EC-6.3	unknown	unknown
RXN-14892	RXN-14892	unknown	unknown
RXN-14891	RXN-14891	unknown	unknown
RXN-10708	EC-3.1.2.20	unknown	unknown
RXN-10706	EC-1.3.3.6	fatty-acyl coenzyme A oxidase	POX1
RXN-10706	EC-1.3.3.6	OPC6 acyl-CoA oxidase||OPC8 acyl-CoA oxidase||acyl-CoA oxidase	AT4G16760
RXN-10706	EC-1.3.3.6	OPC4 acyl-CoA oxidase||OPC6 acyl-CoA oxidase||OPC8 acyl-CoA oxidase	ACX1A
RXN-10707	EC-1.3.3.6	fatty-acyl coenzyme A oxidase	POX1
RXN-10707	EC-1.3.3.6	OPC4 acyl-CoA oxidase||OPC6 acyl-CoA oxidase||OPC8 acyl-CoA oxidase	ACX1A
RXN-10696	EC-1.3.3.6	fatty-acyl coenzyme A oxidase	POX1
RXN-10696	EC-1.3.3.6	OPC6 acyl-CoA oxidase||OPC8 acyl-CoA oxidase||acyl-CoA oxidase	AT4G16760
RXN-10696	EC-1.3.3.6	OPC4 acyl-CoA oxidase||OPC6 acyl-CoA oxidase||OPC8 acyl-CoA oxidase	ACX1A
RXN-10701	EC-2.3.1.16	3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase	POT1
RXN-10701	EC-2.3.1.16	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1
RXN-10701	EC-2.3.1.16	OPC4-3-ketoacyl-CoA thiolase||OPC6-3-ketoacyl-CoA thiolase||OPC8-3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase	AT2G33150
RXN-10700	EC-2.3.1.16	3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase	POT1
RXN-10700	EC-2.3.1.16	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1
RXN-10700	EC-2.3.1.16	OPC4-3-ketoacyl-CoA thiolase||OPC6-3-ketoacyl-CoA thiolase||OPC8-3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase	AT2G33150
RXN-10699	EC-2.3.1.16	3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase||3-oxoacyl CoA thiolase	POT1
RXN-10699	EC-2.3.1.16	3-ketoacyl-CoA thiolase, peroxisomal	ACAA1
RXN-10699	EC-2.3.1.16	OPC4-3-ketoacyl-CoA thiolase||OPC6-3-ketoacyl-CoA thiolase||OPC8-3-ketoacyl-CoA thiolase||3-ketoacyl-CoA thiolase	AT2G33150
RXN-10703	EC-1.1.1.35	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10702	EC-1.1.1.35	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10698	EC-1.1.1.35	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10705	EC-4.2.1.17	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10704	EC-4.2.1.17	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10697	EC-4.2.1.17	peroxisomal fatty acid &beta;-oxidation multifunctional protein AIM1	AT4G29010
RXN-10695	EC-6.2.1	3-oxo-2-(2'-[Z]-pentenyl)cyclopentane-1-octanoate CoA ligase	AT1G20510
RXN-1321	EC-1.13.11.12	lipoxygenase	RLL2
RXN-1321	EC-1.13.11.12	lipoxygenase	AT3G45140
RXN1F-19	EC-4.2.1.92	allene oxide synthase	AT5G42650
12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	12-oxophytodienoate reductase	AT2G06050
12-OXOPHYTODIENOATE-REDUCTASE-RXN	EC-1.3.1.42	12-oxophytodienoate reductase	AT1G76680
ALLENE-OXIDE-CYCLASE-RXN	EC-5.3.99.6	allene oxide cyclase	AT3G25770
RXN-745	RXN-745	unknown	unknown
2.3.1.103-RXN	EC-2.3.1.103	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	AT2G22980
2.3.1.103-RXN	EC-2.3.1.103	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	AT2G23010
2.3.1.103-RXN	EC-2.3.1.103	sinapoylglucose:sinapoylglucose <i>O</i>-sinapoyltransferase	unknown
SINAPINE-ESTERASE-RXN	EC-3.1.1.49	sinapine esterase	unknown
2.3.1.92-RXN	EC-2.3.1.92	sinapoylglucose:malate <i>O</i>-sinapoyltransferase	AT2G22990
2.3.1.92-RXN	EC-2.3.1.92	sinapoylglucose:malate <i>O</i>-sinapoyltransferase	unknown
2.3.1.91-RXN	EC-2.3.1.91	sinapoylglucose:choline <i>O</i>-sinapoyltransferase	unknown
2.3.1.91-RXN	EC-2.3.1.91	sinapoylglucose:choline <i>O</i>-sinapoyltransferase	BnSCT
2.3.1.91-RXN	EC-2.3.1.91	sinapoylglucose:choline <i>O</i>-sinapoyltransferase	AT5G09640
2.3.1.91-RXN	EC-2.3.1.91	sinapoylglucose:choline <i>O</i>-sinapoyltransferase	unknown
SINAPATE-1-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.120	sinapate-1-glucosyltransferase	AT3G21560
SINAPATE-1-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.120	sinapate-1-glucosyltransferase	unknown
SINAPATE-1-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.120	sinapate-1-glucosyltransferase	SGT1
SINAPATE-1-GLUCOSYLTRANSFERASE-RXN	EC-2.4.1.120	sinapate-1-glucosyltransferase	unknown
MANNPISOM-RXN	EC-5.3.1.8	mannose-6-phosphate isomerase	manA
MANNPISOM-RXN	EC-5.3.1.8	phosphomannose isomerase||GDP-D-mannose pyrophosphorylase	algA
MANNPISOM-RXN	EC-5.3.1.8	GDP-D-mannose pyrophosphorylase||phosphomannose isomerase	PH0925
MANNPISOM-RXN	EC-5.3.1.8	phosphomannose isomerase	unknown
MANNPISOM-RXN	EC-5.3.1.8	phosphomannose isomerase	unknown
MANNPISOM-RXN	EC-5.3.1.8	phosphomannose isomerase	unknown
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannomutase	cpsG
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannomutase	algC
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannomutase	AT2G45790
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannose mutase	PH0923
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannomutase	unknown
PHOSMANMUT-RXN	EC-5.4.2.8	phosphomannomutase	manB
RXN-15203	EC-2.4.1.320	&beta;-1,4-D-mannosyl-<i>N</i>-acetyl-D-glucosamine phosphorylase	BT_1033
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	AT2G46370
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10455	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-10449	EC-6.3	unknown	unknown
RXN-10459	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10459	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-10457	EC-6.3	jasmonoyl-amino acid synthetase	JAR6
RXN-10457	EC-6.3	jasmonoyl-amino acid synthetase	JAR4
RXN-15910	EC-3.2.1.20	&alpha;-glucosidase	AGL97
RXN-15909	EC-3.2.1.2	unknown	unknown
RXN-15908	EC-3.2.1	unknown	unknown
RXN-15361	EC-2.3.1	glucarate acyltransferase (acyl-glucose dependent)	unknown
2.3.1.132-RXN	EC-2.3.1.132	sinapoyl-CoA: glucarolactone sinapoyltransferase	unknown
2.3.1.131-RXN	EC-2.3.1.131	sinapoyl-CoA: glucarate sinapoyltransferase	unknown
N-ACETYLGLUCOSAMINE-DEACETYLASE-RXN	EC-3.5.1.33	diacetylchitobiose deacetylase	dac
RXN-12554	EC-3.2.1	chitinase, containing dual catalytic domains	chiA
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	nagB
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	unknown
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	archaeal glucosamine-6-phosphate deaminase	glmD
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine 6-phosphate isomerase 1	GPI1
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	nagB
RXN-12545	EC-2.7.1.147	ADP-dependent glucokinase	glkA
RXN-12544	EC-3.2.1	exo-&beta;-D-glucosaminidase	glmA
RXN-12543	EC-3.5.1	chitin deacetylase	cda
RXN-12543	EC-3.5.1	diacetylchitobiose deacetylase	dac
RXN-12626	EC-3.2.1.52	periplasmic &beta;-<i>N</i>-acetylglucosaminidase	exoI
RXN-12625	EC-3.2.1.52	chitobiase	chb
RXN-12624	EC-3.2.1.14	periplasmic chitodextrinase	endoI
RXN-12623	EC-3.2.1.14	chitinase A	chiA
RXN-12623	EC-3.2.1.14	chitinase B	chiB
RXN-12623	EC-3.2.1.14	periplasmic chitodextrinase	endoI
3.2.1.14-RXN	EC-3.2.1.14	endochitinase	chiA
3.2.1.14-RXN	EC-3.2.1.14	endochitinase	CHIT1
3.2.1.14-RXN	EC-3.2.1.14	acidic endochitinase	Chit1
3.2.1.14-RXN	EC-3.2.1.14	endochitinase ChiA	chiA
3.2.1.14-RXN	EC-3.2.1.14	endochitinase	chiA
RXN-15832	RXN-15832	CycA1	cycA1
RXN-15830	EC-1.9.3.1	aa3-type cytochrome oxidase	coxC
RXN-15830	EC-1.9.3.1	aa3-type cytochrome oxidase	coxB
RXN-15830	EC-1.9.3.1	aa3-type cytochrome oxidase	coxA
RXN-15829	EC-1.10.2.2	cytochrome bc<sub>1</sub>	petC1
RXN-15829	EC-1.10.2.2	cytochrome bc<sub>1</sub>	petB1
RXN-15829	EC-1.10.2.2	cytochrome bc<sub>1</sub>	petA1
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoA
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoH
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoJ
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoK
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoL
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoM
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoN
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoI
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoG
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoF
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoE
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoC
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH:quinone oxidoreductase I	nuoB
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1S	cupS
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1S	cupA
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1S	ndhF3
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1S	ndhD3
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhF1
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhD1
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhA
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhB
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhC
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhE
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhG
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhL
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhN
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhM
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhK
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhJ
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhI
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1L	ndhH
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhA
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhB
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhC
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhE
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhG
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhL
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhN
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhM
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhK
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhJ
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhI
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NDH-1M	ndhH
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G37510
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G08530
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G20360
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT4G02580
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT1G79010
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G11770
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G67590
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G33220
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G03100
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G12260
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G02050
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT4G16450
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G47690
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G08610
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G52840
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD9
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT1G49140
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD7
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD5c
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD5a
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD5b
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD1a
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	NAD1b
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G47930
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G66510
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT1G47260
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G48680
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT5G63510
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT3G57785
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G42310
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G27730
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT2G31490
NADH-DEHYDROG-A-RXN	EC-1.6.5.3	NADH-ubiquinone oxidoreductase	AT4G20150
RXN-12075	EC-1.16.9.1	iron-rusticyanin reductase	cyc2
RXN-12076	RXN-12076	Cyc1	cyc1
RXN-13718	EC-1.14.13	flavonoid 3',5'-hydroxylase	AJ011862
RXN-525	EC-1.14.13.21	flavonoid 3'-hydroxylase	Ht1
RXN-525	EC-1.14.13.21	flavonoid 3'-hydroxylase	AT5G07990
RXN-525	EC-1.14.13.21	flavonoid 3',5'-hydroxylase	AJ011862
RXN-7784	EC-1.1.1.219	dihydroflavonol 4-reductase	unknown
RXN-7922	EC-1.14.11.9	unknown	unknown
RXN-7921	RXN-7921	flavonoid 3',5'-hydroxylase	Hf2
RXN-7921	RXN-7921	flavonoid 3',5'-hydroxylase	Hf1
GLUCOSAMINE-KINASE-RXN	EC-2.7.1.8	glucosamine kinase||glucokinase	glk
GLUCOSAMINE-KINASE-RXN	EC-2.7.1.8	glucosamine kinase	gspK
RXN-12629	EC-3.2.1	unknown	unknown
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59	<i>N</i>-acetyl-D-glucosamine kinase	nagK
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59	<i>N</i>-acetylglucosamine kinase	rokA
N-ACETYLGLUCOSAMINE-KINASE-RXN	EC-2.7.1.59	<i>N</i>-acetylglucosamine kinase	unknown
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	nagB
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	unknown
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	archaeal glucosamine-6-phosphate deaminase	glmD
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine 6-phosphate isomerase 1	GPI1
GLUCOSAMINE-6-P-DEAMIN-RXN	EC-3.5.99.6	glucosamine-6-phosphate deaminase	nagB
NAG6PDEACET-RXN	EC-3.5.1.25	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	nagA
NAG6PDEACET-RXN	EC-3.5.1.25	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	nagA
NAG6PDEACET-RXN	EC-3.5.1.25	<i>N</i>-acetylglucosamine-6-phosphate deacetylase	nagA
PHOSACETYLGLUCOSAMINEMUT-RXN	EC-5.4.2.3	phosphoacetylglucosamine mutase	Pagm
PHOSACETYLGLUCOSAMINEMUT-RXN	EC-5.4.2.3	phosphoacetylglucosamine mutase	AGM
PHOSACETYLGLUCOSAMINEMUT-RXN	EC-5.4.2.3	phosphoacetylglucosamine mutase	PGM3
PHOSACETYLGLUCOSAMINEMUT-RXN	EC-5.4.2.3	<i>N</i>-acetylglucosamine-phosphate mutase	PCM1
RXN-12627	EC-2.4.1.280	<i>N,N'</i>-diacetylchitobiose phosphorylase	chbP
RXN-14960	RXN-14960	unknown	unknown
TRANS-RXN-171	TRANS-RXN-171	iron regulated transporter	AT4G19680
TRANS-RXN-171	TRANS-RXN-171	iron regulated transporter	AT4G19690
TRANS-RXN-171	TRANS-RXN-171	iron regulated transporter	OsIRT1
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7	NADH:Fe(III)EDTA oxidoreductase	unknown
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7	ferric chelate reductase	AT5G49740
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7	ferric chelate reductase	OsFRO2
FERRIC-CHELATE-REDUCTASE-RXN	EC-1.16.1.7	ferric chelate reductase	OsFRO1
3.2.1.91-RXN	EC-3.2.1.91	exoglucanase 1	cbh1
3.2.1.91-RXN	EC-3.2.1.91	exoglucanase 1	cbh1
3.2.1.91-RXN	EC-3.2.1.91	exoglucanase 1	cbh1
3.2.1.91-RXN	EC-3.2.1.91	exoglucanase 3	unknown
3.2.1.91-RXN	EC-3.2.1.91	cellulose 1,4-&beta;-cellobiosidase Cbh2	cbh2
3.2.1.91-RXN	EC-3.2.1.91	cellulose 1,4-&beta;-cellobiosidase CbhI	cbh1
3.2.1.91-RXN	EC-3.2.1.91	cellulose 1,4-&beta;-cellobiosidase CbhA	cbhA
3.2.1.91-RXN	EC-3.2.1.91	cellulose 1,4-&beta;-cellobiosidase (non-reducing end)	celK
RXN-2043	EC-3.2.1.4	endo-1,4-D-glucanase	bcsZ
RXN-2043	EC-3.2.1.4	endoglucanase-6B	cel6B
RXN-2043	EC-3.2.1.4	endoglucanase 1	cel7B
RXN-2043	EC-3.2.1.4	endoglucanase 1	egl1
RXN-2043	EC-3.2.1.4	endoglucanase Cel12A	cel12A
RXN-2043	EC-3.2.1.4	endoglucanase Cel5A	Tm_cel5A
RXN-2043	EC-3.2.1.4	cellulase VII	egl7
RXN-2043	EC-3.2.1.4	cellulase EG V	egl5
RXN-2043	EC-3.2.1.4	cellulase EG IV	egl4
RXN-2043	EC-3.2.1.4	cellulase EG III	egl3
RXN-2043	EC-3.2.1.4	cellulase EG II	egl2
RXN-2043	EC-3.2.1.4	cellulase EG I	egl1
RXN-2043	EC-3.2.1.4	cellulase P	celP
RXN-2043	EC-3.2.1.4	glycoside hydrolase family 9 domain protein LecB	lecB
